gen,best_fitness,mean_fitness,best_success,gen_time
0,51.4772,10.1018,0.1250,18.71
1,80.4048,27.9908,0.2500,18.35
2,76.7371,27.7341,0.3750,18.52
3,70.0852,30.5720,0.2500,20.01
4,123.7233,39.4185,0.5000,18.83
5,107.0183,45.1567,0.3750,18.85
6,92.0772,47.6666,0.3750,18.99
7,85.3691,38.1670,0.2500,20.07
8,83.7057,39.5189,0.2500,19.58
9,102.1630,39.4766,0.3750,18.97
10,92.8599,42.9142,0.2500,18.87
11,95.0742,43.2716,0.2500,16.25
12,98.9331,40.7607,0.3750,15.25
13,110.3140,44.9022,0.3750,15.48
14,124.1184,45.3088,0.5000,15.15
15,101.5243,42.8098,0.3750,15.14
16,129.1515,48.7993,0.5000,15.17
17,116.7938,45.2049,0.5000,15.20
18,110.9319,48.9109,0.5000,15.30
19,132.1126,55.8067,0.6250,14.91
20,123.9595,61.4984,0.5000,15.01
21,131.9578,63.1148,0.6250,15.09
22,128.5549,57.4277,0.6250,15.16
23,152.7297,59.1047,0.8750,14.94
24,122.2511,64.1165,0.6250,15.14
25,158.8855,78.5553,0.8750,14.28
26,158.3462,63.9472,0.7500,15.12
27,128.1143,60.7170,0.6250,14.76
28,139.4566,63.4031,0.7500,14.89
29,161.1792,74.0947,0.8750,14.08
30,171.0131,74.7657,0.8750,14.07
31,177.5688,73.8266,0.8750,14.05
32,154.9274,83.5808,0.7500,14.27
33,167.8465,80.3500,1.0000,14.00
34,173.4632,87.8457,0.8750,13.55
35,142.5915,73.9947,0.7500,14.16
36,158.2652,74.1040,0.7500,14.40
37,160.4533,81.0385,0.8750,13.71
38,187.6202,79.4280,0.8750,13.75
39,168.3325,94.3894,1.0000,12.76
40,176.6407,105.5725,0.7500,12.57
41,189.8147,106.3884,1.0000,12.35
42,160.0110,96.0383,0.8750,12.73
43,170.8537,99.0122,0.8750,12.97
44,153.9211,95.2917,0.8750,13.17
45,200.3773,103.8133,0.8750,12.57
46,191.0018,105.0094,1.0000,12.51
47,172.2643,100.3442,0.8750,12.87
48,192.8097,97.0238,1.0000,13.36
49,159.6105,88.6036,0.8750,14.05
50,185.9414,95.1180,1.0000,13.32
51,164.5482,104.1347,0.7500,12.51
52,188.2025,106.3230,1.0000,12.32
53,178.5429,108.0338,1.0000,12.11
54,186.7674,99.4338,1.0000,12.43
55,200.7347,112.2312,1.0000,11.89
56,181.2232,105.1333,1.0000,12.32
57,177.9282,103.2007,1.0000,12.04
58,160.3894,100.8036,0.7500,12.57
59,160.0113,107.6826,0.7500,11.87
60,176.1321,104.7777,0.8750,11.88
61,182.1469,110.6070,0.8750,11.51
62,185.4522,116.9765,0.8750,11.34
63,191.2090,113.3693,1.0000,11.69
64,186.2346,115.1272,1.0000,11.48
65,184.1635,103.8399,1.0000,12.12
66,171.0394,106.2122,0.8750,11.91
67,158.2755,93.5312,0.8750,12.91
68,169.3654,102.7263,0.8750,12.15
69,190.6850,97.6370,0.8750,12.62
70,184.2147,99.4452,1.0000,12.55
71,166.7324,95.7876,0.8750,12.66
72,180.8509,101.1238,0.8750,12.44
73,186.6801,113.2792,0.8750,11.89
74,195.1110,117.8944,1.0000,11.54
75,179.6394,113.6904,0.8750,11.75
76,189.1571,115.8549,0.8750,11.58
77,221.6109,117.2676,1.0000,11.49
78,190.8221,119.0974,1.0000,11.12
79,205.8556,125.1003,1.0000,10.82
80,209.0821,112.6299,1.0000,11.70
81,209.7605,116.5583,1.0000,11.43
82,209.1701,107.9324,1.0000,11.86
83,196.5681,121.5574,1.0000,11.07
84,203.1731,116.6361,1.0000,11.33
85,172.4039,112.9854,1.0000,11.63
86,201.2210,126.1772,1.0000,10.98
87,182.6842,119.7990,0.8750,11.12
88,171.2734,117.5526,0.8750,11.30
89,196.8225,118.8322,1.0000,11.25
90,190.0355,123.6695,1.0000,11.20
91,194.5532,125.3385,1.0000,10.78
92,175.2017,116.6556,0.8750,11.37
93,201.3071,111.5193,1.0000,11.76
94,175.2452,107.7434,0.8750,12.44
95,174.8345,108.8840,1.0000,12.07
96,201.9050,111.9666,1.0000,11.96
97,175.5236,114.0774,0.8750,11.83
98,183.8821,117.1499,1.0000,11.72
99,174.9336,106.2789,1.0000,12.42
