gen,best_fitness,mean_fitness,best_success,gen_time
0,51.1667,11.1291,0.1250,5.03
1,81.9750,28.9271,0.2500,4.34
2,52.5645,28.6412,0.1250,4.55
3,55.4036,29.0594,0.1250,4.68
4,40.9046,26.7043,0.0000,4.62
5,60.3712,29.0125,0.1250,4.78
6,56.0633,30.1965,0.1250,4.76
7,43.3650,27.3062,0.0000,4.87
8,44.8689,28.6301,0.0000,4.90
9,48.2945,31.5346,0.0000,5.11
10,43.2558,31.7949,0.0000,4.94
11,45.3993,31.7305,0.0000,5.02
12,57.4412,34.0758,0.1250,5.07
13,47.2836,33.8736,0.0000,5.16
14,61.6218,35.2987,0.1250,5.07
15,67.0868,36.6553,0.1250,5.15
16,64.5619,35.3941,0.1250,5.15
17,66.4227,36.6103,0.1250,5.06
18,50.7712,36.3424,0.0000,5.21
19,58.5681,36.9213,0.1250,5.20
20,69.3102,36.9901,0.1250,5.24
21,68.7876,38.4270,0.1250,5.24
22,63.9826,40.7322,0.1250,5.23
23,71.2158,40.2944,0.1250,5.36
24,51.6289,40.0820,0.0000,5.22
25,74.3511,42.2838,0.1250,5.23
26,69.3545,39.7902,0.1250,5.22
27,51.2368,41.3600,0.0000,5.52
28,56.6169,41.2238,0.0000,5.30
29,69.4665,43.6486,0.1250,5.32
30,56.1606,42.6847,0.0000,5.43
31,72.7424,42.1021,0.1250,5.23
32,52.5167,41.8251,0.0000,5.32
33,56.7591,42.5264,0.0000,5.39
34,72.5151,41.2341,0.1250,5.26
35,73.9478,42.3434,0.1250,5.25
36,63.5719,41.3487,0.1250,5.25
37,70.7308,41.2396,0.1250,5.25
38,56.5134,41.8612,0.0000,5.37
39,92.6193,42.2980,0.2500,5.19
40,53.5313,42.1521,0.0000,5.32
41,65.7149,43.2682,0.1250,5.29
42,54.5403,41.8579,0.0000,5.26
43,62.9900,42.7963,0.1250,5.32
44,72.9791,41.6762,0.1250,5.33
45,95.8860,43.6047,0.2500,5.35
46,98.5981,44.2385,0.2500,5.19
47,88.9126,46.6123,0.2500,5.25
48,90.2687,41.9120,0.2500,5.16
49,83.1494,41.6203,0.2500,5.28
50,107.9392,44.9748,0.3750,5.08
51,84.6249,41.4606,0.2500,5.02
52,89.8313,41.5206,0.2500,5.03
53,107.9239,46.2389,0.3750,4.90
54,102.4259,51.0360,0.2500,4.60
55,132.0471,58.3725,0.3750,4.72
56,156.0292,64.9941,0.6250,4.54
57,127.1424,70.9234,0.6250,4.50
58,139.8298,78.2694,0.5000,4.57
59,174.8003,85.6147,0.7500,4.41
60,154.0012,80.6717,0.6250,4.28
61,166.1830,87.3737,0.6250,4.22
62,154.4442,87.0704,0.7500,4.30
63,215.6549,101.4352,1.0000,3.96
64,173.3109,91.3310,0.7500,4.70
65,174.0742,92.3833,0.7500,4.66
66,176.5902,89.5421,0.7500,4.28
67,159.6806,95.8413,0.6250,4.46
68,231.2503,91.4423,1.0000,4.40
69,165.9360,92.4995,0.7500,4.46
70,183.0078,92.1679,0.7500,5.32
71,178.2970,97.7955,0.7500,4.02
72,182.2073,105.3257,0.7500,4.17
73,224.4250,112.0986,1.0000,3.87
74,185.6517,118.6042,0.8750,3.92
75,212.2209,119.7575,1.0000,3.85
76,205.2691,122.4653,1.0000,3.78
77,203.6203,119.5719,0.8750,3.62
78,198.7003,131.8432,0.8750,3.23
79,225.6258,125.1692,1.0000,3.50
80,204.9413,132.8809,0.8750,3.39
81,205.7401,122.4523,0.8750,3.86
82,204.4568,133.9858,0.8750,3.57
83,227.1111,123.7551,1.0000,3.38
84,229.3929,124.0734,1.0000,3.39
85,219.1926,131.3243,1.0000,3.83
86,205.9413,124.0774,0.8750,3.45
87,222.5030,132.0793,1.0000,3.15
88,203.7654,143.6486,0.8750,3.01
89,232.3013,135.0711,1.0000,3.09
90,217.8900,129.0844,1.0000,3.19
91,220.6665,138.7628,1.0000,3.05
92,226.4074,136.3356,1.0000,2.97
93,224.5352,139.8412,1.0000,3.05
94,227.9679,139.3369,1.0000,3.10
95,214.1301,148.2721,0.8750,2.90
96,229.4922,154.0064,1.0000,2.76
97,238.5487,146.9253,1.0000,3.05
98,225.6080,157.3216,1.0000,2.79
99,224.9541,159.0454,1.0000,2.66
