episode,success,step_count,success_steps,first_goal_step,second_goal_step,goal_gap,signal_counts,stuck_steps,social_mode,social_variant,random_spawns,random_food,u_env
1,1,353,166|353,166,353,187,174|27,0,off,angle_strength,1,1,1
2,0,1000,124|-1,124,-1,-1,639|66,0,off,angle_strength,1,1,1
3,0,1000,-1|187,187,-1,-1,113|579,0,off,angle_strength,1,1,1
4,1,374,153|374,153,374,221,172|20,0,off,angle_strength,1,1,1
5,1,154,130|154,130,154,24,33|8,0,off,angle_strength,1,1,1
6,0,1000,-1|131,131,-1,-1,66|683,0,off,angle_strength,1,1,1
7,0,1000,80|-1,80,-1,-1,690|8,833,off,angle_strength,1,1,1
8,1,196,92|196,92,196,104,78|20,0,off,angle_strength,1,1,1
9,1,404,3|404,3,404,401,308|34,0,off,angle_strength,1,1,1
10,1,300,160|300,160,300,140,109|16,0,off,angle_strength,1,1,1
11,1,317,173|317,173,317,144,122|11,0,off,angle_strength,1,1,1
12,1,350,350|210,210,350,140,18|123,0,off,angle_strength,1,1,1
13,0,1000,230|-1,230,-1,-1,610|12,830,off,angle_strength,1,1,1
14,1,267,151|267,151,267,116,94|9,0,off,angle_strength,1,1,1
15,1,185,122|185,122,185,63,52|8,0,off,angle_strength,1,1,1
16,1,199,23|199,23,199,176,127|13,0,off,angle_strength,1,1,1
17,1,115,40|115,40,115,75,60|3,0,off,angle_strength,1,1,1
18,1,286,71|286,71,286,215,147|8,0,off,angle_strength,1,1,1
19,1,203,77|203,77,203,126,95|18,0,off,angle_strength,1,1,1
20,0,1000,-1|127,127,-1,-1,103|598,10,off,angle_strength,1,1,1
21,1,734,734|77,77,734,657,57|465,0,off,angle_strength,1,1,1
22,1,181,74|181,74,181,107,87|8,0,off,angle_strength,1,1,1
23,1,160,39|160,39,160,121,94|7,0,off,angle_strength,1,1,1
24,1,343,129|343,129,343,214,168|19,0,off,angle_strength,1,1,1
25,1,279,115|279,115,279,164,134|14,0,off,angle_strength,1,1,1
26,1,369,369|297,297,369,72,40|64,0,off,angle_strength,1,1,1
27,1,728,314|728,314,728,414,317|56,0,off,angle_strength,1,1,1
28,1,383,223|383,223,383,160,137|23,0,off,angle_strength,1,1,1
29,1,141,123|141,123,141,18,30|9,0,off,angle_strength,1,1,1
30,1,173,112|173,112,173,61,56|7,0,off,angle_strength,1,1,1
31,0,1000,112|-1,112,-1,-1,712|66,0,off,angle_strength,1,1,1
32,1,295,103|295,103,295,192,162|14,0,off,angle_strength,1,1,1
33,0,1000,-1|152,152,-1,-1,110|626,0,off,angle_strength,1,1,1
34,1,870,229|870,229,870,641,483|35,119,off,angle_strength,1,1,1
35,1,407,407|167,167,407,240,17|186,0,off,angle_strength,1,1,1
36,1,237,237|153,153,237,84,25|76,0,off,angle_strength,1,1,1
37,1,311,60|311,60,311,251,184|14,0,off,angle_strength,1,1,1
38,0,1000,29|-1,29,-1,-1,691|68,136,off,angle_strength,1,1,1
39,1,826,297|826,297,826,529,408|47,0,off,angle_strength,1,1,1
40,1,854,17|854,17,854,837,572|50,0,off,angle_strength,1,1,1
41,1,176,176|126,126,176,50,7|40,0,off,angle_strength,1,1,1
42,1,319,238|319,238,319,81,66|18,0,off,angle_strength,1,1,1
43,1,375,217|375,217,375,158,137|21,0,off,angle_strength,1,1,1
44,1,851,163|851,163,851,688,519|55,0,off,angle_strength,1,1,1
45,1,333,90|333,90,333,243,184|24,0,off,angle_strength,1,1,1
46,1,986,986|317,317,986,669,118|499,0,off,angle_strength,1,1,1
47,1,403,135|403,135,403,268,204|29,11,off,angle_strength,1,1,1
48,0,1000,-1|294,294,-1,-1,107|495,0,off,angle_strength,1,1,1
49,0,1000,170|-1,170,-1,-1,596|991,956,off,angle_strength,1,1,1
50,1,194,194|148,148,194,46,16|43,0,off,angle_strength,1,1,1
51,1,372,104|372,104,372,268,213|12,0,off,angle_strength,1,1,1
52,1,361,127|361,127,361,234,170|25,0,off,angle_strength,1,1,1
53,1,315,116|315,116,315,199,176|18,0,off,angle_strength,1,1,1
54,1,249,69|249,69,249,180,144|18,0,off,angle_strength,1,1,1
55,0,1000,-1|770,770,-1,-1,71|231,0,off,angle_strength,1,1,1
56,1,587,587|332,332,587,255,58|217,0,off,angle_strength,1,1,1
57,1,305,26|305,26,305,279,206|18,0,off,angle_strength,1,1,1
58,1,444,180|444,180,444,264,208|38,0,off,angle_strength,1,1,1
59,1,296,140|296,140,296,156,145|17,0,off,angle_strength,1,1,1
60,0,1000,6|-1,6,-1,-1,679|36,473,off,angle_strength,1,1,1
61,1,313,313|199,199,313,114,10|80,0,off,angle_strength,1,1,1
62,1,221,126|221,126,221,95,69|18,0,off,angle_strength,1,1,1
63,1,223,223|176,176,223,47,12|44,0,off,angle_strength,1,1,1
64,1,647,647|195,195,647,452,86|348,33,off,angle_strength,1,1,1
65,1,230,230|145,145,230,85,14|63,0,off,angle_strength,1,1,1
66,0,1000,65|-1,65,-1,-1,675|12,771,off,angle_strength,1,1,1
67,1,190,31|190,31,190,159,115|14,0,off,angle_strength,1,1,1
68,1,865,865|365,365,865,500,95|361,0,off,angle_strength,1,1,1
69,1,383,171|383,171,383,212,178|19,0,off,angle_strength,1,1,1
70,1,235,162|235,162,235,73,78|18,0,off,angle_strength,1,1,1
71,1,311,266|311,266,311,45,41|21,0,off,angle_strength,1,1,1
72,1,199,150|199,150,199,49,40|9,0,off,angle_strength,1,1,1
73,0,1000,-1|150,150,-1,-1,149|611,0,off,angle_strength,1,1,1
74,1,325,86|325,86,325,239,174|15,0,off,angle_strength,1,1,1
75,1,664,664|155,155,664,509,48|352,0,off,angle_strength,1,1,1
76,1,320,35|320,35,320,285,227|22,0,off,angle_strength,1,1,1
77,1,273,273|111,111,273,162,31|124,0,off,angle_strength,1,1,1
78,1,463,102|463,102,463,361,303|35,0,off,angle_strength,1,1,1
79,0,1000,257|-1,257,-1,-1,573|58,737,off,angle_strength,1,1,1
80,1,347,59|347,59,347,288,214|27,0,off,angle_strength,1,1,1
81,0,1000,-1|195,195,-1,-1,99|615,0,off,angle_strength,1,1,1
82,1,420,158|420,158,420,262,207|42,0,off,angle_strength,1,1,1
83,1,528,528|175,175,528,353,38|266,0,off,angle_strength,1,1,1
84,1,213,213|194,194,213,19,16|21,0,off,angle_strength,1,1,1
85,1,278,44|278,44,278,234,192|17,0,off,angle_strength,1,1,1
86,1,151,151|128,128,151,23,11|18,0,off,angle_strength,1,1,1
87,1,387,387|244,244,387,143,42|117,6,off,angle_strength,1,1,1
88,1,270,132|270,132,270,138,120|13,0,off,angle_strength,1,1,1
89,1,277,277|197,197,277,80,21|64,0,off,angle_strength,1,1,1
