episode,success,step_count,success_steps,first_goal_step,second_goal_step,goal_gap,signal_counts,stuck_steps,social_mode,social_variant,random_spawns,random_food,u_env
1,1,223,149|223,149,223,74,73|15,0,shuffled,angle_strength,1,1,1
2,1,282,74|282,74,282,208,163|31,0,shuffled,angle_strength,1,1,1
3,0,1000,-1|158,158,-1,-1,136|618,0,shuffled,angle_strength,1,1,1
4,1,644,644|254,254,644,390,71|306,0,shuffled,angle_strength,1,1,1
5,1,350,73|350,73,350,277,197|33,0,shuffled,angle_strength,1,1,1
6,0,1000,78|-1,78,-1,-1,678|28,806,shuffled,angle_strength,1,1,1
7,0,1000,45|-1,45,-1,-1,661|994,960,shuffled,angle_strength,1,1,1
8,1,195,195|186,186,195,9,19|15,0,shuffled,angle_strength,1,1,1
9,1,323,71|323,71,323,252,187|30,0,shuffled,angle_strength,1,1,1
10,1,313,242|313,242,313,71,89|23,0,shuffled,angle_strength,1,1,1
11,1,172,42|172,42,172,130,96|13,0,shuffled,angle_strength,1,1,1
12,1,550,550|270,270,550,280,43|216,0,shuffled,angle_strength,1,1,1
13,1,302,186|302,186,302,116,110|13,0,shuffled,angle_strength,1,1,1
14,0,1000,128|-1,128,-1,-1,680|82,0,shuffled,angle_strength,1,1,1
15,1,171,171|114,114,171,57,7|48,0,shuffled,angle_strength,1,1,1
16,1,194,99|194,99,194,95,85|16,0,shuffled,angle_strength,1,1,1
17,1,294,90|294,90,294,204,145|19,0,shuffled,angle_strength,1,1,1
18,0,1000,764|-1,764,-1,-1,289|6,882,shuffled,angle_strength,1,1,1
19,1,189,126|189,126,189,63,57|16,0,shuffled,angle_strength,1,1,1
20,1,265,265|158,158,265,107,37|91,0,shuffled,angle_strength,1,1,1
21,1,246,246|151,151,246,95,41|76,0,shuffled,angle_strength,1,1,1
22,1,227,27|227,27,227,200,149|11,0,shuffled,angle_strength,1,1,1
23,1,300,29|300,29,300,271,177|16,0,shuffled,angle_strength,1,1,1
24,1,463,186|463,186,463,277,224|34,91,shuffled,angle_strength,1,1,1
25,1,252,33|252,33,252,219,155|6,0,shuffled,angle_strength,1,1,1
26,0,1000,-1|124,124,-1,-1,119|606,0,shuffled,angle_strength,1,1,1
27,1,343,66|343,66,343,277,212|27,0,shuffled,angle_strength,1,1,1
28,1,186,186|139,139,186,47,28|47,0,shuffled,angle_strength,1,1,1
29,1,293,293|286,286,293,7,33|23,0,shuffled,angle_strength,1,1,1
30,1,176,43|176,43,176,133,95|14,0,shuffled,angle_strength,1,1,1
31,0,1000,-1|218,218,-1,-1,107|596,0,shuffled,angle_strength,1,1,1
32,1,602,602|160,160,602,442,59|331,0,shuffled,angle_strength,1,1,1
33,1,384,40|384,40,384,344,261|24,0,shuffled,angle_strength,1,1,1
34,1,423,381|423,381,423,42,77|26,0,shuffled,angle_strength,1,1,1
35,1,242,25|242,25,242,217,179|13,0,shuffled,angle_strength,1,1,1
36,1,299,299|169,169,299,130,13|97,0,shuffled,angle_strength,1,1,1
37,1,271,171|271,171,271,100,85|18,0,shuffled,angle_strength,1,1,1
38,1,306,58|306,58,306,248,171|28,0,shuffled,angle_strength,1,1,1
39,0,1000,-1|139,139,-1,-1,93|622,0,shuffled,angle_strength,1,1,1
40,1,644,644|203,203,644,441,40|324,0,shuffled,angle_strength,1,1,1
41,1,174,106|174,106,174,68,66|18,0,shuffled,angle_strength,1,1,1
42,0,1000,-1|-1,-1,-1,-1,106|10,802,shuffled,angle_strength,1,1,1
43,1,413,413|173,173,413,240,65|189,0,shuffled,angle_strength,1,1,1
44,1,263,263|139,139,263,124,38|91,0,shuffled,angle_strength,1,1,1
45,1,119,37|119,37,119,82,58|6,0,shuffled,angle_strength,1,1,1
46,1,487,487|293,293,487,194,36|155,0,shuffled,angle_strength,1,1,1
47,1,324,130|324,130,324,194,149|16,0,shuffled,angle_strength,1,1,1
48,1,376,124|376,124,376,252,206|39,0,shuffled,angle_strength,1,1,1
49,0,1000,-1|143,143,-1,-1,106|600,0,shuffled,angle_strength,1,1,1
50,1,273,48|273,48,273,225,174|13,0,shuffled,angle_strength,1,1,1
51,0,1000,-1|148,148,-1,-1,81|614,0,shuffled,angle_strength,1,1,1
52,1,327,327|161,161,327,166,42|127,0,shuffled,angle_strength,1,1,1
53,1,576,175|576,175,576,401,318|44,0,shuffled,angle_strength,1,1,1
54,1,317,101|317,101,317,216,185|12,0,shuffled,angle_strength,1,1,1
55,1,137,137|120,120,137,17,6|17,0,shuffled,angle_strength,1,1,1
56,1,156,86|156,86,156,70,74|4,0,shuffled,angle_strength,1,1,1
57,1,278,121|278,121,278,157,130|16,20,shuffled,angle_strength,1,1,1
58,1,142,128|142,128,142,14,33|6,0,shuffled,angle_strength,1,1,1
59,1,420,420|198,198,420,222,63|157,0,shuffled,angle_strength,1,1,1
60,1,387,163|387,163,387,224,196|34,0,shuffled,angle_strength,1,1,1
61,1,464,268|464,268,464,196,179|39,0,shuffled,angle_strength,1,1,1
62,1,111,98|111,98,111,13,35|16,0,shuffled,angle_strength,1,1,1
63,1,301,138|301,138,301,163,149|15,0,shuffled,angle_strength,1,1,1
64,1,330,50|330,50,330,280,197|32,0,shuffled,angle_strength,1,1,1
65,1,448,28|448,28,448,420,290|24,0,shuffled,angle_strength,1,1,1
66,1,229,78|229,78,229,151,110|21,0,shuffled,angle_strength,1,1,1
67,1,427,127|427,127,427,300,234|12,0,shuffled,angle_strength,1,1,1
68,1,291,101|291,101,291,190,151|22,0,shuffled,angle_strength,1,1,1
69,0,1000,-1|326,326,-1,-1,111|477,0,shuffled,angle_strength,1,1,1
70,1,954,175|954,175,954,779,588|123,20,shuffled,angle_strength,1,1,1
71,0,1000,-1|289,289,-1,-1,64|562,0,shuffled,angle_strength,1,1,1
72,1,269,269|118,118,269,151,18|113,0,shuffled,angle_strength,1,1,1
73,1,190,178|190,178,190,12,46|8,0,shuffled,angle_strength,1,1,1
74,1,712,712|126,126,712,586,77|407,0,shuffled,angle_strength,1,1,1
75,1,419,118|419,118,419,301,211|30,0,shuffled,angle_strength,1,1,1
76,1,221,221|116,116,221,105,10|86,0,shuffled,angle_strength,1,1,1
77,1,262,110|262,110,262,152,119|24,0,shuffled,angle_strength,1,1,1
78,0,1000,279|-1,279,-1,-1,526|991,891,shuffled,angle_strength,1,1,1
79,1,190,190|132,132,190,58,21|56,0,shuffled,angle_strength,1,1,1
80,1,795,795|180,180,795,615,62|453,0,shuffled,angle_strength,1,1,1
81,1,203,127|203,127,203,76,76|9,0,shuffled,angle_strength,1,1,1
82,1,524,524|151,151,524,373,68|276,0,shuffled,angle_strength,1,1,1
83,1,881,881|172,172,881,709,33|533,0,shuffled,angle_strength,1,1,1
84,1,320,164|320,164,320,156,134|15,0,shuffled,angle_strength,1,1,1
85,1,512,21|512,21,512,491,353|31,0,shuffled,angle_strength,1,1,1
86,1,140,140|107,107,140,33,20|30,0,shuffled,angle_strength,1,1,1
87,1,666,666|204,204,666,462,52|332,0,shuffled,angle_strength,1,1,1
88,1,380,380|101,101,380,279,53|189,0,shuffled,angle_strength,1,1,1
89,1,686,188|686,188,686,498,370|49,0,shuffled,angle_strength,1,1,1
90,1,324,39|324,39,324,285,195|17,0,shuffled,angle_strength,1,1,1
91,1,169,75|169,75,169,94,74|7,0,shuffled,angle_strength,1,1,1
92,1,69,69|59,59,69,10,7|8,0,shuffled,angle_strength,1,1,1
93,1,321,321|292,292,321,29,49|40,0,shuffled,angle_strength,1,1,1
94,1,990,990|340,340,990,650,126|499,0,shuffled,angle_strength,1,1,1
95,1,963,963|142,142,963,821,85|591,0,shuffled,angle_strength,1,1,1
96,1,457,51|457,51,457,406,309|32,0,shuffled,angle_strength,1,1,1
97,1,189,81|189,81,189,108,78|13,0,shuffled,angle_strength,1,1,1
98,0,1000,-1|292,292,-1,-1,105|555,0,shuffled,angle_strength,1,1,1
99,1,202,202|101,101,202,101,14|83,0,shuffled,angle_strength,1,1,1
100,1,498,498|229,229,498,269,24|203,0,shuffled,angle_strength,1,1,1
