episode,success,step_count,success_steps,first_goal_step,second_goal_step,goal_gap,signal_counts,stuck_steps,social_mode,social_variant,random_spawns,random_food,u_env
1,1,229,51|229,51,229,178,129|15,0,normal,angle_strength,0,0,1
2,1,257,176|257,176,257,81,60|9,0,normal,angle_strength,0,0,1
3,0,1000,-1|262,262,-1,-1,42|516,0,normal,angle_strength,0,0,1
4,0,1000,-1|143,143,-1,-1,78|613,0,normal,angle_strength,0,0,1
5,1,267,213|267,213,267,54,73|8,0,normal,angle_strength,0,0,1
6,1,204,204|177,177,204,27,16|26,0,normal,angle_strength,0,0,1
7,1,191,191|135,135,191,56,37|52,0,normal,angle_strength,0,0,1
8,1,274,122|274,122,274,152,117|28,0,normal,angle_strength,0,0,1
9,1,173,99|173,99,173,74,60|15,0,normal,angle_strength,0,0,1
10,1,303,232|303,232,303,71,57|23,0,normal,angle_strength,0,0,1
11,1,191,191|154,154,191,37,17|37,0,normal,angle_strength,0,0,1
12,1,311,130|311,130,311,181,131|15,0,normal,angle_strength,0,0,1
13,1,152,122|152,122,152,30,24|7,0,normal,angle_strength,0,0,1
14,1,244,244|206,206,244,38,37|31,0,normal,angle_strength,0,0,1
15,1,224,133|224,133,224,91,70|19,0,normal,angle_strength,0,0,1
16,1,183,95|183,95,183,88,76|12,0,normal,angle_strength,0,0,1
17,1,345,125|345,125,345,220,143|21,0,normal,angle_strength,0,0,1
18,0,1000,130|-1,130,-1,-1,635|416,0,normal,angle_strength,0,0,1
19,1,267,27|267,27,267,240,167|12,0,normal,angle_strength,0,0,1
20,1,270,270|158,158,270,112,48|85,0,normal,angle_strength,0,0,1
