gen,best_fitness,mean_fitness,best_success,gen_time
0,41.7319,9.4907,0.0000,5.05
1,55.8489,27.6825,0.1250,4.28
2,56.2226,31.1131,0.1250,4.69
3,52.3508,30.8285,0.1250,4.93
4,46.7829,32.4756,0.0000,5.47
5,64.2269,33.0743,0.1250,5.76
6,65.6766,35.2418,0.1250,6.05
7,50.5418,36.0627,0.0000,6.09
8,66.1399,37.6327,0.1250,7.01
9,53.8942,38.4641,0.1250,6.83
10,50.5597,38.3580,0.0000,6.50
11,54.7427,40.6863,0.0000,6.70
12,61.5551,41.3789,0.1250,6.69
13,62.0284,41.9697,0.1250,6.64
14,56.9137,40.3545,0.0000,6.88
15,75.0976,42.5358,0.1250,6.89
16,54.3141,41.3919,0.0000,6.97
17,56.7030,44.0173,0.0000,7.12
18,71.0220,44.6099,0.1250,7.16
19,71.6539,45.6165,0.1250,7.27
20,75.2575,45.7780,0.1250,6.98
21,77.8271,46.0006,0.1250,6.71
22,76.7748,46.6226,0.1250,6.86
23,70.6029,44.6681,0.1250,6.23
24,80.3464,47.4166,0.1250,6.28
25,72.7845,44.7825,0.1250,6.24
26,70.2048,45.2073,0.1250,6.22
27,90.5993,44.6616,0.2500,6.22
28,65.9074,43.0974,0.1250,6.19
29,83.3177,44.3674,0.2500,6.08
30,81.7532,41.5300,0.2500,5.98
31,119.0118,42.4410,0.3750,5.95
32,102.8634,42.7893,0.5000,5.97
33,81.2682,42.4489,0.2500,5.91
34,108.9781,51.8088,0.5000,5.65
35,102.3990,49.0448,0.5000,5.61
36,103.1725,40.1098,0.3750,5.27
37,108.7082,48.5220,0.5000,5.07
38,111.7435,37.3885,0.5000,5.22
39,114.3713,42.0163,0.5000,5.19
40,124.4885,50.3728,0.6250,4.93
41,123.9572,47.3894,0.5000,5.13
42,134.7807,54.9524,0.6250,5.19
43,137.3408,52.0397,0.6250,5.30
44,134.7678,54.2214,0.6250,5.45
45,104.3989,51.8146,0.3750,5.44
46,136.8885,58.1100,0.6250,5.91
47,121.0187,55.2455,0.5000,5.44
48,115.5328,59.6994,0.5000,5.27
49,115.7677,56.5433,0.5000,5.52
50,128.2284,58.2342,0.6250,5.25
51,129.4783,56.3321,0.6250,5.27
52,142.2173,61.4925,0.6250,5.19
53,135.4506,59.4969,0.6250,5.31
54,118.5536,61.2345,0.5000,5.49
55,129.4108,49.6970,0.6250,6.01
56,163.3343,56.4761,0.8750,5.27
57,130.5924,61.5108,0.7500,5.23
58,122.8032,63.1709,0.5000,5.11
59,137.6190,59.0089,0.6250,5.08
60,162.8413,70.1452,0.7500,4.78
61,162.4803,70.9850,0.7500,4.88
62,134.2908,64.8005,0.6250,4.88
63,132.7862,61.9075,0.5000,5.08
64,152.8245,75.2949,0.7500,4.85
65,169.5464,73.5560,0.8750,4.97
66,124.0858,62.6994,0.5000,5.07
67,167.7679,75.5100,0.8750,4.80
68,141.3939,73.0885,0.6250,4.90
69,171.9769,76.8066,0.8750,4.74
70,138.4916,74.2269,0.7500,4.79
71,147.9555,75.0476,0.7500,4.71
72,146.8890,69.1431,0.7500,4.76
73,134.2195,73.8523,0.7500,4.67
74,168.2503,76.5005,0.8750,4.59
75,138.6953,84.0682,0.7500,4.39
76,141.6834,77.6156,0.6250,4.60
77,173.4882,83.4206,0.7500,4.59
78,165.7926,78.5327,0.7500,4.60
79,158.5289,82.0567,0.7500,4.64
80,162.7173,76.1905,0.7500,4.59
81,135.6475,61.7590,0.6250,4.88
82,141.7201,71.0989,0.7500,4.78
83,151.5229,71.4928,0.7500,4.87
84,130.7464,68.8603,0.6250,4.82
85,154.1723,78.4971,0.7500,4.82
86,157.6936,68.6476,0.7500,4.94
87,169.2910,80.8159,0.8750,4.60
88,150.6932,77.1054,0.7500,4.62
89,176.8039,83.3775,0.8750,4.40
90,147.6413,80.4813,0.7500,4.52
91,156.0779,70.8659,0.7500,4.76
92,155.7143,76.6341,0.7500,4.59
93,130.7987,76.0593,0.6250,4.37
94,157.7848,77.4308,0.7500,4.50
95,168.8720,86.8776,0.8750,4.29
96,171.5707,79.6364,0.8750,4.42
97,156.2189,66.6677,0.7500,4.73
98,184.4664,87.7996,0.8750,4.25
99,153.3689,79.7798,0.7500,4.50
