episode,success,step_count,success_steps,first_goal_step,second_goal_step,goal_gap,signal_counts,stuck_steps,social_mode,social_variant,random_spawns,random_food,u_env
1,1,329,64|329,64,329,265,189|25,0,normal,angle_strength,1,1,1
2,1,270,146|270,146,270,124,108|14,0,normal,angle_strength,1,1,1
3,1,229,127|229,127,229,102,81|24,0,normal,angle_strength,1,1,1
4,1,383,383|188,188,383,195,29|139,0,normal,angle_strength,1,1,1
5,1,166,83|166,83,166,83,73|11,0,normal,angle_strength,1,1,1
6,1,465,465|391,391,465,74,31|76,0,normal,angle_strength,1,1,1
7,1,309,87|309,87,309,222,175|22,0,normal,angle_strength,1,1,1
8,1,263,77|263,77,263,186,153|26,0,normal,angle_strength,1,1,1
9,1,306,301|306,301,306,5,14|25,0,normal,angle_strength,1,1,1
10,1,706,706|188,188,706,518,48|419,0,normal,angle_strength,1,1,1
11,0,1000,103|-1,103,-1,-1,713|74,0,normal,angle_strength,1,1,1
12,1,398,190|398,190,398,208,152|38,0,normal,angle_strength,1,1,1
13,1,968,119|968,119,968,849,648|71,0,normal,angle_strength,1,1,1
14,1,150,150|114,114,150,36,32|30,0,normal,angle_strength,1,1,1
15,1,381,239|381,239,381,142,133|26,0,normal,angle_strength,1,1,1
16,1,145,108|145,108,145,37,27|8,0,normal,angle_strength,1,1,1
17,1,294,40|294,40,294,254,186|19,0,normal,angle_strength,1,1,1
18,0,1000,127|-1,127,-1,-1,659|66,0,normal,angle_strength,1,1,1
19,1,203,203|190,190,203,13,36|23,0,normal,angle_strength,1,1,1
20,1,908,908|189,189,908,719,92|508,0,normal,angle_strength,1,1,1
21,0,1000,-1|127,127,-1,-1,123|597,0,normal,angle_strength,1,1,1
22,1,887,887|169,169,887,718,68|535,0,normal,angle_strength,1,1,1
23,1,110,15|110,15,110,95,65|4,0,normal,angle_strength,1,1,1
24,1,287,227|287,227,287,60,56|15,0,normal,angle_strength,1,1,1
25,0,1000,94|-1,94,-1,-1,710|337,187,normal,angle_strength,1,1,1
26,1,339,141|339,141,339,198,159|22,0,normal,angle_strength,1,1,1
27,1,135,123|135,123,135,12,21|2,0,normal,angle_strength,1,1,1
28,1,122,80|122,80,122,42,49|9,0,normal,angle_strength,1,1,1
29,1,257,189|257,189,257,68,65|15,0,normal,angle_strength,1,1,1
30,1,790,790|100,100,790,690,73|498,0,normal,angle_strength,1,1,1
31,1,428,225|428,225,428,203,167|43,0,normal,angle_strength,1,1,1
32,1,251,251|143,143,251,108,33|88,0,normal,angle_strength,1,1,1
33,1,929,1|929,1,929,928,630|22,585,normal,angle_strength,1,1,1
34,1,340,340|137,137,340,203,62|149,0,normal,angle_strength,1,1,1
35,1,292,46|292,46,292,246,192|23,0,normal,angle_strength,1,1,1
36,0,1000,-1|790,790,-1,-1,79|187,0,normal,angle_strength,1,1,1
37,0,1000,58|-1,58,-1,-1,658|68,0,normal,angle_strength,1,1,1
38,1,425,45|425,45,425,380,263|27,0,normal,angle_strength,1,1,1
39,1,348,192|348,192,348,156,113|26,0,normal,angle_strength,1,1,1
40,0,1000,-1|200,200,-1,-1,61|593,0,normal,angle_strength,1,1,1
41,1,207,72|207,72,207,135,97|10,0,normal,angle_strength,1,1,1
42,1,246,246|170,170,246,76,40|65,0,normal,angle_strength,1,1,1
43,1,168,168|163,163,168,5,12|16,0,normal,angle_strength,1,1,1
44,1,196,79|196,79,196,117,89|23,0,normal,angle_strength,1,1,1
45,1,128,92|128,92,128,36,46|6,0,normal,angle_strength,1,1,1
46,0,1000,-1|179,179,-1,-1,58|633,0,normal,angle_strength,1,1,1
47,1,144,123|144,123,144,21,38|6,0,normal,angle_strength,1,1,1
48,1,284,261|284,261,284,23,49|22,0,normal,angle_strength,1,1,1
49,1,333,117|333,117,333,216,184|27,0,normal,angle_strength,1,1,1
50,1,977,977|171,171,977,806,76|580,0,normal,angle_strength,1,1,1
51,1,314,314|165,165,314,149,27|120,4,normal,angle_strength,1,1,1
52,1,683,683|292,292,683,391,44|295,4,normal,angle_strength,1,1,1
53,1,270,270|114,114,270,156,15|117,0,normal,angle_strength,1,1,1
54,1,451,266|451,266,451,185,176|29,99,normal,angle_strength,1,1,1
55,1,394,394|148,148,394,246,16|185,0,normal,angle_strength,1,1,1
56,1,185,147|185,147,185,38,51|10,0,normal,angle_strength,1,1,1
57,1,185,62|185,62,185,123,97|16,0,normal,angle_strength,1,1,1
58,1,403,17|403,17,403,386,272|27,0,normal,angle_strength,1,1,1
59,1,703,703|295,295,703,408,39|292,0,normal,angle_strength,1,1,1
60,1,263,263|134,134,263,129,39|103,0,normal,angle_strength,1,1,1
61,1,145,15|145,15,145,130,89|7,0,normal,angle_strength,1,1,1
62,0,1000,-1|154,154,-1,-1,38|604,0,normal,angle_strength,1,1,1
63,1,320,177|320,177,320,143,109|23,0,normal,angle_strength,1,1,1
64,1,164,126|164,126,164,38,58|12,0,normal,angle_strength,1,1,1
65,1,418,324|418,324,418,94,104|27,0,normal,angle_strength,1,1,1
66,1,188,30|188,30,188,158,114|12,0,normal,angle_strength,1,1,1
67,1,193,54|193,54,193,139,97|10,0,normal,angle_strength,1,1,1
68,0,1000,-1|80,80,-1,-1,88|665,0,normal,angle_strength,1,1,1
69,1,379,277|379,277,379,102,125|32,31,normal,angle_strength,1,1,1
70,1,259,101|259,101,259,158,114|16,0,normal,angle_strength,1,1,1
71,1,554,554|345,345,554,209,31|169,0,normal,angle_strength,1,1,1
72,1,222,209|222,209,222,13,25|18,0,normal,angle_strength,1,1,1
73,1,345,345|160,160,345,185,29|142,0,normal,angle_strength,1,1,1
74,1,234,106|234,106,234,128,87|28,0,normal,angle_strength,1,1,1
75,1,145,128|145,128,145,17,24|7,0,normal,angle_strength,1,1,1
76,1,254,254|152,152,254,102,58|80,0,normal,angle_strength,1,1,1
77,0,1000,-1|171,171,-1,-1,84|648,0,normal,angle_strength,1,1,1
78,1,234,174|234,174,234,60,52|13,5,normal,angle_strength,1,1,1
79,1,751,751|169,169,751,582,68|389,0,normal,angle_strength,1,1,1
80,1,194,194|124,124,194,70,14|50,0,normal,angle_strength,1,1,1
